"code_bss";"urn_bss";"date_mesure";"timestamp_mesure";"niveau_nappe_eau";"mode_obtention";"statut";"qualification"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-01";"1262304000000";"20.89";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-02";"1262390400000";"21.11";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-03";"1262476800000";"21.12";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-04";"1262563200000";"21.13";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-05";"1262649600000";"21.14";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-06";"1262736000000";"21.14";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-07";"1262822400000";"21.1";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-08";"1262908800000";"21.08";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-09";"1262995200000";"20.97";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-10";"1263081600000";"20.68";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-11";"1263168000000";"20.61";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-12";"1263254400000";"20.6";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-13";"1263340800000";"20.34";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-14";"1263427200000";"20.31";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-15";"1263513600000";"20.56";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-16";"1263600000000";"20.4";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-17";"1263686400000";"20.53";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-18";"1263772800000";"20.51";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-19";"1263859200000";"20.46";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-20";"1263945600000";"20.5";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-21";"1264032000000";"20.59";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-22";"1264118400000";"20.57";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
"04555X0093/F1";"http://services.ades.eaufrance.fr/pointeau/04555X0093/F1";"2010-01-23";"1264204800000";"20.59";"Valeur mesurée";"Donnée contrôlée niveau 1";"Correcte"
